"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",0.110418488660831,0.367994272371731,0.133765090501838,0.0660145352495851,0.150971140495412,0.0154773138076149,0.0767933909824593,0.0480116089670205,0.0286225257292861,0.00193163323422152
"2",0.234090136013017,0.0144297221988481,0.00546060912335095,0.00165565579519344,0.0162865488996193,0.371244344181681,0.304023061102408,0.0302017703479301,0.00592393054763783,0.0166842217903132
"3",0.492842821180957,0.116146218630984,0.00334517333238602,0.00330469448056415,0.00959568901749349,0.123200135649512,0.170577622635646,0.0633522283555103,0.00810714883624425,0.00952826788070215
"4",0.492842821180957,0.116146218630984,0.00334517333238602,0.00330469448056414,0.00959568901749347,0.123200135649512,0.170577622635646,0.0633522283555103,0.00810714883624423,0.00952826788070214
"5",0.0138166011672324,0.160493487747361,0.00238307770058338,0.000160900253264574,0.00164632268071748,0.78068363660574,0.00352737756899711,0.00346096550358099,0.00448324665709773,0.029344384115425
"6",0.0808057155044486,0.00515566255080973,0.175744099998562,0.0294076854628754,0.00937975989252017,0.0117897244672949,0.107154027755316,0.00402240058425424,0.133272527671547,0.443268396112372
"7",0.0344005337387893,0.0119521963215297,0.0519031564851519,0.00135587199435178,0.0720595787123334,0.17416761684367,0.644528484818178,0.00241246435971383,0.00395056486607069,0.00326953186021113
"8",0.0043724554544831,0.000574919767994951,0.000666776801086595,0.0301145519965046,0.0023039182800327,0.00172862702848667,0.00102002049503438,0.0174934620613501,0.00170020523876638,0.940025062876261
"9",0.00441369349248731,0.000573841512840047,0.000666835274235662,0.0301150348381766,0.0022935771034552,0.00172762420996563,0.00101813301324032,0.0176224393842099,0.00169711652750619,0.939871704643883
"10",0.0170675611722436,0.00308941442950069,0.014027924428263,0.000488711229818855,0.282339038563042,0.593139716191632,0.00312498986700698,0.0640763237270067,0.005199469276745,0.0174468511147417
"11",0.0014323606514157,0.000396690163156096,0.00532071356504394,0.00152288157092183,0.839204687802058,0.000405989481388122,0.150981531353698,0.000341772762763252,0.000143202968467229,0.000250169681087343
"12",0.00639209289614796,0.0204444371829356,0.00146039599273513,0.00117752318771799,0.00967403579074694,0.0721682962004631,0.0114065556268692,0.0648782737298672,0.00410530327740307,0.808293086115114
"13",0.0718490026511062,0.00354179629025686,0.0292063304681475,0.000553702137180798,0.107898430258422,0.0833179968598199,0.00584210915809292,0.0144014014552829,0.0067142465128932,0.676674984208797
"14",0.00942450264654443,0.000757016090102693,0.000733974315663413,0.0117599580489774,0.00403472630907999,0.00101064498083826,0.000991447194671028,0.967624254246971,0.00307869563934417,0.000584780527807415
"15",0.579584252012494,0.0037841530782975,0.00201608431505647,0.00149559301964029,0.0489730644270959,0.00456553027790684,0.00311199385025756,0.00895134855611576,0.0269184656144378,0.320599514848698
"16",0.0090971716197303,0.00340918830155991,0.00423002618561446,0.000450240944835225,0.0779198266534169,0.0566267522838428,0.00489882601688222,0.00252356618410384,0.00205838837630805,0.838786013433706
"17",0.133693351324929,0.716828895174483,0.000602084385138351,0.0796744035283576,0.00379880628263276,0.00232282426314782,0.0283899888972147,0.0110047082438863,0.0223053252114151,0.00137961268879543
"18",0.0858513768958051,0.00318633610935275,0.00135489367432996,9.95963840915893e-05,0.001718255631716,0.639525203555585,0.00205483346254474,0.00222002328584948,0.00293307297501448,0.261056408025711
"19",0.240171603518161,0.00580000300818158,0.00238471189395203,0.00110808730579677,0.00222571132321796,0.326785913505169,0.376779351289521,0.00714086346914163,0.0343745436440719,0.00322921104278688
"20",0.00428369589370309,0.00120448280056707,0.00105382268153692,3.88294102037629e-05,0.000296557650997779,0.45250181006502,0.00036043946273757,0.00287685577197585,0.0987268770306576,0.438656629232601
"21",0.0428714409521866,0.00205866210680045,0.00185604742604977,0.000570222459333446,0.00230913120407123,0.00990958887160149,0.000843803384461615,0.1370863777117,0.762629089797787,0.0398656360860083
"22",0.00419898766333083,0.0013811905666347,0.00148876797570369,0.00467904180822353,0.00269590158793115,0.0131345786001862,0.0441569093946777,0.924461817557727,0.00243759085518525,0.00136521399039975
"23",0.240832025031286,0.217515243722279,0.00133762171462573,0.00363624331885282,0.477486544752752,0.0432221802648571,0.00806794847822428,0.00209947290162665,0.00403842428571993,0.00176429552977721
