atype,date,lead_par,url,word_count
News,2018-01-04,"SHANGHAI — China’s biggest online payment company offers its hundreds of millions of users a breakdown on their spending each year, showing everything from their environmental impact to their ranking among shoppers in their area. Many spenders — not shy, and occasionally even a bit boastful about their personal finances — in turn share the details on social media.",https://www.nytimes.com/2018/01/04/business/china-alibaba-privacy.html,1290
News,2018-01-04,"The Dow Jones industrial average on Thursday closed above 25,000 points for the first time, setting a record for the 132-year-old index.",https://www.nytimes.com/2018/01/04/business/dealbook/dow-25000.html,184
News,2018-01-04,It will sound like bad news.,https://www.nytimes.com/2018/01/04/business/corporate-tax-cuts.html,1122
News,2018-01-04,"Sales of electric and hybrid cars in Norway outpaced those running on fossil fuels last year, cementing the country’s position as a global leader in the push to restrict vehicle emissions.",https://www.nytimes.com/2018/01/04/business/energy-environment/norway-electric-hybrid-cars.html,785
News,2018-01-04,"Newsroom employees at The Los Angeles Times began casting ballots Thursday on whether to form a union, in what they believe is the first time journalists have held a union vote in the newspaper’s 136-year history.",https://www.nytimes.com/2018/01/04/business/media/los-angeles-times-union-vote.html,869
News,2018-01-04,"In the midst of a long-running bull market that is now reaching momentous proportions, most investors may well have forgotten that just two years ago, during the first five trading days of 2016, the market dropped 6 percent. It was the worst five-day start to a year ever and supposedly a harbinger of bad times.",https://www.nytimes.com/2018/01/04/business/market-dow-2018.html,1406
News,2018-01-04,"PASADENA, Calif. — A top Fox TV executive said she was “shocked” when the deal between 21st Century Fox and the Walt Disney Company was announced. One of Fox’s most prolific hitmakers, Ryan Murphy, said he was “very emotional” and weighing whether he would stick around when his deal with the studio ended later this year.",https://www.nytimes.com/2018/01/04/business/media/ryan-murphy-fox-disney.html,740
News,2018-01-05,"Michael Wolff has, for years, been a prime piranha in the Manhattan media pond, using his caustic columns to tear into his lunchmates at Michael’s, the Midtown mogul canteen, and cutting a memorable figure at star-speckled dinner parties, clad in Charvet ties and shirts by the London haberdashery Browns.",https://www.nytimes.com/2018/01/04/business/media/michael-wolff-trump.html,1154
News,2018-01-05,The former publisher of The Anniston Star in Alabama resigned on Thursday as chairman of the company that owns the newspaper after admitting that he spanked a reporter in the 1970s.,https://www.nytimes.com/2018/01/04/business/media/alabama-newspaper-spanking.html,460
News,2018-01-05,The bustling United States economy is beginning to benefit some American workers who have not gotten a taste of the recovery and have been most in need of relief.,https://www.nytimes.com/2018/01/05/business/economy/jobs-report.html,1284
