atype,date,lead_par,url,word_count
News,2018-01-03,"RIO DE JANEIRO — Didi Chuxing, the Chinese ride-sharing company, agreed to acquire full control of 99 — the main Brazilian rival to Uber and a company in which Didi already holds a stake — for around $600 million, according to three people with knowledge of the transaction.",https://www.nytimes.com/2018/01/03/technology/didi-chuxing-99-brazil-ride-hailing.html,701
Question,2018-01-03,"Q. Your recent tip on managing iOS apps without the old capability in the new iTunes update did not address seeing apps beyond pages available on a device (I have hundreds more not visible) and organizing them on a computer, as was so easy before iTunes 12.7. Help!",https://www.nytimes.com/2018/01/03/technology/personaltech/organizing-apps-directly-in-ios.html,476
News,2018-01-03,"Homeowners, businesses and utilities across much of the United States were keeping a close watch on fuel supplies Wednesday as a record-setting cold snap caused demand for heating oil and natural gas to soar.",https://www.nytimes.com/2018/01/03/business/heating-homeowners-winter.html,1020
News,2018-01-03,WASHINGTON — The Federal Reserve has entered 2018 without a clear plan for raising its benchmark interest rate and with the added uncertainty of an imminent change in its leadership.,https://www.nytimes.com/2018/01/03/business/economy/fed-rate-increases.html,908
News,2018-01-03,"How do New York Times journalists use technology in their jobs and in their personal lives? Sam Dolnick, an assistant managing editor at The Times who oversees digital initiatives, discussed the tech he’s using.",https://www.nytimes.com/2018/01/03/technology/personaltech/technology-future-journalism.html,1229
News,2018-01-03,"President Trump boasted Tuesday evening that he had a “nuclear button” that is “much bigger” and “more powerful” than North Korea’s, again prompting fears that an errant tweet could lead to a nuclear conflict. (It is worth noting that there is no nuclear button.)",https://www.nytimes.com/2018/01/03/technology/twitter-trump-rules.html,781
News,2018-01-03,SAN FRANCISCO — Russian and Venezuelan officials are hoping virtual currencies can help their countries make an end run around American sanctions.,https://www.nytimes.com/2018/01/03/technology/russia-venezuela-virtual-currencies.html,1472
News,2018-01-03,"REYKJAVIK, Iceland — Iceland this week began putting in place a new law that requires companies and government agencies to prove they are paying men and women equally, positioning the country at the forefront of global efforts to minimize gender inequality.",https://www.nytimes.com/2018/01/03/world/europe/iceland-equal-pay.html,802
News,2018-01-03,The auto industry’s long-running sales party has come to an end.,https://www.nytimes.com/2018/01/03/business/auto-sales.html,880
News,2018-01-03,Spotify is finally ready to go public.,https://www.nytimes.com/2018/01/03/business/media/spotify-ipo-streaming-music.html,808
News,2018-01-03,"From the surging value of cryptocurrencies to the continuing investigation of Russian interference in the 2016 presidential election, developments in 2017 were hard to forecast. Who could have predicted that an article in The New York Times in October describing sexual misconduct by the movie mogul Harvey Weinstein would unleash a torrent of claims about media stars, members of Congress and the judiciary and even an N.F.L. owner?",https://www.nytimes.com/2018/01/03/business/dealbook/bitcoin-russia-investigation.html,1015
News,2018-01-03,SAN FRANCISCO — Computer security experts have discovered two major security flaws in the microprocessors inside nearly all of the world’s computers.,https://www.nytimes.com/2018/01/03/business/computer-flaws.html,1220
News,2018-01-03,"Imagine this: When you leave the house, your air conditioner and lights turn off automatically. Then when a motion sensor detects a person in the house, like your house cleaner, it sends an alert to your phone. When you arrive home, a camera recognizes who you are and the door automatically unlocks.",https://www.nytimes.com/2018/01/03/technology/personaltech/ces-2018.html,1160
News,2018-01-03,The big corporate tax break that became law last month is great news for companies and their investors. But what about employees? How much of the corporate tax windfall will go to workers via higher wages? ,https://www.nytimes.com/2018/01/03/business/corporate-tax-cut-bonuses-employees.html,730
News,2018-01-04,Tesla’s first mass-market offering keeps encountering roadblocks.,https://www.nytimes.com/2018/01/03/business/tesla-model-3.html,490
News,2018-01-04,"For the first time in nearly two decades, Essence magazine is once again a fully black-owned publication.",https://www.nytimes.com/2018/01/03/us/essence-sale-black-owned.html,647
News,2018-01-04,"PALO ALTO, Calif. — Before the car can drive without a human, one must first get behind the wheel.",https://www.nytimes.com/2018/01/04/technology/self-driving-cars-aurora.html,1303
News,2018-01-04,Good Thursday. (We hope that all U.S.-based readers are staying warm.) Here’s what we’re watching:,https://www.nytimes.com/2018/01/04/business/dealbook/trump-bannon-wolff-book.html,2945
News,2018-01-04,"SAN FRANCISCO — Between breaking into the email accounts of United States government officials, political dissidents and international human rights organizations, Iranian hackers liked to joke about their slow internet service, poor pay and lack of skilled colleagues.",https://www.nytimes.com/2018/01/04/technology/iranian-hackers.html,1254
News,2018-01-04,"SHANGHAI — China’s biggest online payment company offers its hundreds of millions of users a breakdown on their spending each year, showing everything from their environmental impact to their ranking among shoppers in their area. Many spenders — not shy, and occasionally even a bit boastful about their personal finances — in turn share the details on social media.",https://www.nytimes.com/2018/01/04/business/china-alibaba-privacy.html,1290
News,2018-01-04,"The Dow Jones industrial average on Thursday closed above 25,000 points for the first time, setting a record for the 132-year-old index.",https://www.nytimes.com/2018/01/04/business/dealbook/dow-25000.html,184
News,2018-01-04,It will sound like bad news.,https://www.nytimes.com/2018/01/04/business/corporate-tax-cuts.html,1122
Question,2018-01-04,"Q. I hear desktop Linux has gotten to look more like Windows, but can you do everything on Linux that you can do on Windows?",https://www.nytimes.com/2018/01/04/technology/personaltech/taking-a-look-at-linux.html,516
News,2018-01-04,"Sales of electric and hybrid cars in Norway outpaced those running on fossil fuels last year, cementing the country’s position as a global leader in the push to restrict vehicle emissions.",https://www.nytimes.com/2018/01/04/business/energy-environment/norway-electric-hybrid-cars.html,785
News,2018-01-04,"Newsroom employees at The Los Angeles Times began casting ballots Thursday on whether to form a union, in what they believe is the first time journalists have held a union vote in the newspaper’s 136-year history.",https://www.nytimes.com/2018/01/04/business/media/los-angeles-times-union-vote.html,869
News,2018-01-04,"In the midst of a long-running bull market that is now reaching momentous proportions, most investors may well have forgotten that just two years ago, during the first five trading days of 2016, the market dropped 6 percent. It was the worst five-day start to a year ever and supposedly a harbinger of bad times.",https://www.nytimes.com/2018/01/04/business/market-dow-2018.html,1406
News,2018-01-04,"PASADENA, Calif. — A top Fox TV executive said she was “shocked” when the deal between 21st Century Fox and the Walt Disney Company was announced. One of Fox’s most prolific hitmakers, Ryan Murphy, said he was “very emotional” and weighing whether he would stick around when his deal with the studio ended later this year.",https://www.nytimes.com/2018/01/04/business/media/ryan-murphy-fox-disney.html,740
News,2018-01-04,"On Wednesday, a group of security experts revealed two security flaws that affect nearly all microprocessors, the digital brains of the world’s computers. These flaws, called Meltdown and Spectre, could allow hackers to lift passwords, photos, documents and other data from smartphones, PCs and the cloud computing services that many businesses rely on.",https://www.nytimes.com/2018/01/04/technology/meltdown-spectre-questions.html,1188
