atype,date,lead_par,url,word_count,article_text
News,2018-09-30,ISTANBUL — A group of residents have been protesting for more than 70 days at an empty building site in eastern Istanbul. ,https://www.nytimes.com/2018/09/30/business/turkey-economy-development-protests.html,974,
News,2018-09-30,"BEIJING — Well before dawn, nearly a hundred people stood in line outside one of the capital’s top hospitals.",https://www.nytimes.com/2018/09/30/business/china-health-care-doctors.html,2742,
Op-Ed,2018-09-30,"Since the early days of his campaign, from his proposal to build a wall along the Mexican border to his discredited committee on voter fraud, President Trump has declared war on America’s changing demography. His administration has followed through on that strategy with a proposal to add a question to the 2020 census asking about citizenship. If the question remains on the form, millions of households, particularly Hispanic and Asian-American, could skip the census, leading to an overrepresentation of white Americans during this once-a-decade count.",https://www.nytimes.com/2018/09/30/opinion/trump-cant-win-the-war-on-demography.html,797,
News,2018-10-01,California became the first state to require its publicly held corporations to include women on their boards after Gov. Jerry Brown signed a bill into law on Sunday.,https://www.nytimes.com/2018/09/30/business/women-corporate-boards-california.html,904,
News,2018-10-01,"Tax evasion is at the center of the criminal cases against two associates of the president, Paul Manafort and Michael D. Cohen. The sheer scale of their efforts to avoid paying the government has given rise to a head-scratching question: How were they able to cheat the Internal Revenue Service for so many years?",https://www.nytimes.com/2018/10/01/business/economy/irs-tax-fraud-audit.html,1484,
News,2018-10-01,"When he campaigned for governor, Philip D. Murphy leaned on a recurring quip in his stump speech: “New Jersey was Silicon Valley before there even was a Silicon Valley.” He was conjuring the New Jersey of a decade ago, when the state was a leader in new and thriving companies in industries like biotech. ",https://www.nytimes.com/2018/10/01/nyregion/new-jersey-venture-capital-murphy.html,1140,
Op-Ed,2018-10-01,"How we farm matters. For the past two centuries, America’s farms have expanded and homogenized, and farming equipment and chemicals have replaced personnel. Farmers have grown older and more isolated and are retiring without successors.",https://www.nytimes.com/2018/10/01/opinion/wendell-berry-agriculture-farm-bill.html,2360,
Op-Ed,2018-10-01,"The Trump administration wants to change how the government defines who is or is likely to become a “public charge.” The Department of Homeland Security released a draft regulation on Sept. 22, in which it proposed that any immigrant who is likely to use or who has already used Medicaid, public housing or a rent voucher, cash assistance or food stamps could be barred from the country or kept from getting permanent resident status.",https://www.nytimes.com/2018/10/01/opinion/trump-wants-to-turn-the-safety-net-into-a-trap.html,824,
News,2018-10-01,Good Monday. Want this by email? Sign up here.,https://www.nytimes.com/2018/10/01/business/dealbook/elon-musk-tesla-sec.html,1806,
News,2018-10-01,"In November 2010, as the Federal Reserve embarked on its second round of bond buying, Omid Malekan uploaded to YouTube a cartoon called “Quantitative Easing Explained,” which was critical of the central bank’s response to the financial crisis. Within weeks, millions of people had viewed it. Here, nearly eight years later, he says that he got it largely wrong.",https://www.nytimes.com/2018/10/01/business/dealbook/bernank-financial-crisis.html,1368,
News,2018-10-01,WASHINGTON — President Trump said Monday that the revised North American Free Trade Agreement with Mexico and Canada would pour “cash and jobs” into the United States. But the deal’s importance may have less to do with the details than the signal it sends that Mr. Trump is methodically settling his multifront trade war to fight a single enemy: China.,https://www.nytimes.com/2018/10/01/us/politics/nafta-deal-trump-canada-mexico.html,1551,
Review,2018-10-01,"THE DINOSAUR ARTIST Obsession, Betrayal, and the Quest for Earth’s Ultimate Trophy By Paige Williams 410 pp. Hachette. $28.",https://www.nytimes.com/2018/10/01/books/review/dinosaur-artist-paige-williams.html,1207,
News,2018-10-01,"TORONTO — More than a celebration, it ended with a huge sigh of relief.",https://www.nytimes.com/2018/10/01/world/canada/trudeau-nafta-canada.html,1575,
Interactive Feature,2018-10-02,"The midterm elections are around the corner. If you haven’t been keeping up with what’s going on, or have been and are still confused, take a look at our cheat sheet.",https://www.nytimes.com/interactive/2018/10/02/us/politics/2018-midterm-election-guide.html,0,
News,2018-10-02,Get the DealBook newsletter to make sense of major business and policy headlines — and the power-brokers who shape them.__________,https://www.nytimes.com/2018/10/02/business/dealbook/fresenius-akorn-delaware.html,396,
News,2018-10-02,"BOSTON — Jerome H. Powell, the Federal Reserve chairman, said Tuesday that the American economy is enjoying an unusual but sustainable period of low unemployment and low inflation. He described the current moment, and the Fed’s expectation that it will continue, as “not too good to be true.”",https://www.nytimes.com/2018/10/02/business/jerome-powell-fed-economic-outlook.html,869,
News,2018-10-02,"BIRMINGHAM, England — The lines began building two hours before Britain’s former foreign secretary Boris Johnson walked into the 1,500-seat hall, to be greeted by wild cheers and a noisy ovation. As his speech reached a climax, there were uncontrolled whoops of joy.",https://www.nytimes.com/2018/10/02/world/europe/johnson-may-britain-conservatives.html,995,
Interactive Feature,2018-10-02,"The president has long sold himself as a self-made billionaire, but a Times investigation found that he received at least $413 million in today’s dollars from his father’s real estate empire, much of it through tax dodges in the 1990s.",https://www.nytimes.com/interactive/2018/10/02/us/politics/donald-trump-tax-schemes-fred-trump.html,0,
Obituary (Obit),2018-10-02,"Do Muoi, a Vietnamese revolutionary who served for six years as the country’s leader during its transition to a market economy under a Communist government, died on Monday in Hanoi. He was 101.",https://www.nytimes.com/2018/10/02/obituaries/do-muoi-vietnams-leader-in-economic-transition-dies-at-101.html,644,
briefing,2018-10-02,(Want to get this briefing by email? Here’s the sign-up.),https://www.nytimes.com/2018/10/02/briefing/indonesia-china-president-trump.html,1323,
Obituary (Obit),2018-10-02,"Lois S. Gray, who as a professor and mentor for seven decades delivered college-trained women, immigrants and members of racial and ethnic minority groups into the ranks of American organized labor, died on Sept. 20 in Manhattan. She was 94.",https://www.nytimes.com/2018/10/02/obituaries/lois-gray-dead.html,676,
News,2018-10-02,"Hi. Welcome to On Politics, your guide to the day in national politics. I’m Lisa Lerer, your host.",https://www.nytimes.com/2018/10/02/us/politics/on-politics-with-lisa-lerer-war-of-the-sexes.html,1492,
News,2018-10-02,"MIRAMAR, Fla. — The rancorous tone of one of the country’s most closely contested Senate races turned more hostile on Tuesday as Senator Bill Nelson of Florida cast his opponent, Gov. Rick Scott, as an untrustworthy liar in their first debate, while Mr. Scott portrayed Mr. Nelson as an ineffective failure.",https://www.nytimes.com/2018/10/02/us/debate-rick-scott-bill-nelson-florida.html,1089,
News,2018-10-03,"BEIJING — China accused the country’s most famous actress, Fan Bingbing, of evading millions of dollars in taxes and warned others in the television and film industry to come clean or face a similar fate, according to a statement released to state media on Wednesday.",https://www.nytimes.com/2018/10/02/world/asia/fan-bingbing-tax-evasion-china.html,1019,
Interactive Feature,2018-10-03,"A map of the counties targeted by China, Mexico, Canada and the European Union in a trade war looks strikingly similar to a map of the 2016 presidential election.",https://www.nytimes.com/interactive/2018/10/03/business/economy/china-tariff-retaliation.html,0,
News,2018-10-03,Good Wednesday. Want this by email? Sign up here.,https://www.nytimes.com/2018/10/03/business/dealbook/trump-father-riches.html,1606,
Op-Ed,2018-10-03,This article is part of the Opinion Today newsletter. You can sign up here to receive the newsletter each weekday.,https://www.nytimes.com/2018/10/03/opinion/amazon-minimum-wage-bernie-sanders.html,947,
Letter,2018-10-03,To the Editor:,https://www.nytimes.com/2018/10/03/opinion/letters/afghan-women.html,138,
News,2018-10-03,"BIRMINGHAM, England — The stage set stayed intact, the delivery was smooth, and this time the applause wasn’t prompted by sympathy. A year after her big speech was wrecked by a persistent cough and letters falling from the backdrop, Britain’s prime minister, Theresa May, closed her Conservative Party’s annual conference on Wednesday with an effective speech that combined self-deprecating humor and ironic dance moves with a call for unity.",https://www.nytimes.com/2018/10/03/world/europe/uk-theresa-may-speech.html,831,
Interactive Feature,2018-10-03,"This district, in the exurbs west of Chicago,  has long had a Republican bent. Dennis Hastert, the longest-serving Republican Speaker of the House in history, represented it from 1987 to 2007.",https://www.nytimes.com/interactive/2018/upshot/elections-poll-il14-1.html,0,
News,2018-10-03,"The United States, Mexico and Canada finalized a new trade agreement Sunday to replace the North American Free Trade Agreement, or Nafta. The new deal, called the United States-Mexico-Canada Agreement, staves off a trade war, reassuring some Canadian readers who said they were pleased with it.",https://www.nytimes.com/2018/10/03/reader-center/canadian-reactions-nafta-changes-usmca.html,975,
News,2018-10-03,"WASHINGTON — Secretary of State Mike Pompeo announced on Wednesday that the United States was pulling out of a six-decade-old treaty with Iran that had provided a basis for normalizing relations between the two countries, including diplomatic and economic exchanges.",https://www.nytimes.com/2018/10/03/world/middleeast/us-withdraws-treaty-iran.html,1191,
News,2018-10-03,"LIMA, Peru — Alberto Fujimori, the former Peruvian dictator imprisoned for human rights abuses but then pardoned last year, was ordered back to prison on Wednesday, reigniting debate over the fate of one of the region’s most contentious figures.",https://www.nytimes.com/2018/10/03/world/peru-alberto-fujimori.html,866,
Op-Ed,2018-10-04,"BERLIN — On. Oct. 3, Germans celebrated Reunification Day, the moment when, 28 years ago, the former East and West Germany became one nation again. And yet this year, instead of celebrating our unity, there is a growing sense of estrangement. East and west are drifting apart again.",https://www.nytimes.com/2018/10/04/opinion/why-is-eastern-germany-so-far-right.html,1008,
briefing,2018-10-04,(Want to get this briefing by email? Here’s the sign-up.),https://www.nytimes.com/2018/10/04/briefing/indonesia-brett-kavanaugh-iran.html,1274,
Op-Ed,2018-10-04,"PARIS — On June 11, 1957, at 11 p.m., French soldiers burst into Maurice Audin’s apartment in Algiers. Mr. Audin, a 25-year-old mathematician, just had time to tell his wife, Josette, “Take care of the children” before being marched down the staircase by two paratroopers.",https://www.nytimes.com/2018/10/04/opinion/france-torture-algeria-war.html,1153,
News,2018-10-04,"In the 2016 election, Donald J. Trump tapped into a sentiment strongly held by white working-class voters that America had changed so much around them that they felt estranged in their own country.",https://www.nytimes.com/2018/10/04/upshot/estranged-america-trump-polarization.html,1146,
News,2018-10-04,"MILLCREEK, Utah — Ben McAdams, a candidate for Congress, was speed-walking along the highway shoulder in his business suit, safety and common sense be damned.",https://www.nytimes.com/2018/10/04/us/mia-love-utah-republican-woman-congress-ben-mcadams.html,1299,
News,2018-10-04,"PARIS — As President Emmanuel Macron presses ahead with the most business-friendly overhaul of the French labor market in decades, his popularity with many of his countrymen has gone into a tailspin. Consumer confidence is falling. A nascent recovery is cooling off. Unemployment has been stuck above 9 percent for months.",https://www.nytimes.com/2018/10/04/business/economy/mcaron-popularity-tax-cuts-working-class.html,1255,
News,2018-10-04,"KUKI, Japan — Even from two blocks away the stride was familiar — muscular, insistent, arms low and wide — and the runner could be only one person, Yuki Kawauchi, improbable winner of the 2018 Boston Marathon, hamburger connoisseur and fastest man in a panda costume.",https://www.nytimes.com/2018/10/04/sports/yuki-kawauchi-marathon.html,2526,
Review,2018-10-04,"WASHINGTON — Some artists have careers that take juddering turns, with early works giving no hint of later, sudden shifts in style: El Greco or Turner, Frank Stella or Philip Guston. Then there are artists — and it’s no vice — who stay the course. They find a style or principle early on, and, like Voltaire’s Candide, they cultivate their garden, over decades. They devote themselves to a single color, like Robert Ryman and white, or a single subject, like On Kawara and dates, and in the studio each day they make artworks that are always in concert but never the same.",https://www.nytimes.com/2018/10/04/arts/design/rachel-whiteread-national-gallery-of-art-review.html,1375,
News,2018-10-04,"HONG KONG — The mysterious Chinese oil company known as CEFC China raised eyebrows wherever it went. Its executives hinted at deep connections within Beijing’s halls of power as well as with China’s powerful military. Then, last year, prosecutors in the United States arrested one of its top executives, accusing him of bribery in an effort to secure oil rights in Chad and Uganda. Now, they say, he also explored businesses beyond oil: brokering arms deals in other countries and looking for ways to dodge American sanctions on Iran.",https://www.nytimes.com/2018/10/04/business/cefc-china-weapons-iran.html,1288,
News,2018-10-04,"LONDON — Household chores like washing dishes and taking care of children have long been undervalued, feminists and others argue.",https://www.nytimes.com/2018/10/04/world/europe/uk-housework-value.html,590,
News,2018-10-05, Get the DealBook newsletter to make sense of major business and policy headlines — and the power-brokers who shape them.__________,https://www.nytimes.com/2018/10/04/business/dealbook/iran-sanctions-europe.html,1266,
News,2018-10-05,"A prominent Pakistani journalist has been ordered to face a court hearing on accusations of treason next week, in a case the country’s press corps says is one of several recent attempts under the new government to intimidate the news media into silence.",https://www.nytimes.com/2018/10/05/world/asia/pakistan-journalist-treason-military.html,1023,
News,2018-10-05,Before reading the article: ,https://www.nytimes.com/2018/10/05/learning/learning-with-planning-to-vote-in-the-november-election-why-most-americans-probably-wont.html,299,
News,2018-10-05,"ARLES, France — It was 90 degrees at 10 p.m. as the lights dimmed on a stage under the exposed trusses of a 19th-century foundry. All was silent but for the humming of cicadas, all was still apart from the sultry breeze, and all was dark, except for the green flashing lights on the giant construction crane hovering overhead.",https://www.nytimes.com/2018/10/05/arts/design/arles-france-maja-hoffmann.html,1504,
Review,2018-10-05,"THE END OF THE MOMENT WE HAD  By Toshiki Okada Translated by Sam Malissa 122 pp. Pushkin Press. Paper, $13.95",https://www.nytimes.com/2018/10/05/books/review/toshiki-okada-end-of-the-moment-we-had.html,710,
List,2018-10-05,"WINDFALL: How the New Energy Abundance Upends Global Politics and Strengthens America’s Power, by Meghan L. O’Sullivan. (Simon & Schuster, $18.) The rise of cheap gas and fracking has shifted the balances of power worldwide, O’Sullivan, a Harvard professor, writes. The revolution has allowed the United States to be more self-sufficient, helped stabilize Europe’s economy and blunted Russia’s efforts to become a superpower.",https://www.nytimes.com/2018/10/05/books/review/new-paperbacks.html,402,
News,2018-10-05,"The unemployment rate fell to a nearly five-decade low in September, punctuating a remarkable rebound in the 10 years since the collapse of Lehman Brothers set off a global financial crisis.",https://www.nytimes.com/2018/10/05/business/economy/jobs-report.html,1446,
News,2018-10-05,"As airlines continue to shrink the size of their in-flight bathrooms, to make room for more seats in economy, making them all but unusable for tall and overweight passengers, more fliers may increasingly be seeking comfort in places they once avoided at all costs: airport restrooms.",https://www.nytimes.com/2018/10/05/travel/airport-bathrooms-cleanliness-apps.html,797,
News,2018-10-05,"As large as it is, the building would be easy to miss. Plain, gray and near a McDonald’s, it’s part of a generic office complex surrounded by a vast parking lot in a suburb of Copenhagen. “Danish Tax Agency” is stenciled in both English and Danish on a glass front door.",https://www.nytimes.com/2018/10/05/business/denmark-skat-tax-scandal.html,3495,
News,2018-10-05,"BEIJING — Vice President Mike Pence’s accusations in a stinging speech Thursday warning of a tougher approach toward Beijing may have been familiar to China’s leaders. But until now, such remarks were delivered in private, in fairly decorous terms, and rarely threatened direct action.",https://www.nytimes.com/2018/10/05/world/asia/pence-china-speech-cold-war.html,1239,
